,Artist,Event_Name,url,Country,City,Date,Max_price,Min_price,Currency,Location
18,Lady Gaga,Broadway Sings Lady Gaga's Chromatica,https://www.ticketmaster.com/broadway-sings-lady-gagas-chromatica-new-york-new-york-06-25-2023/event/00005D81F64386BE,United States Of America,New York,2023-06-25,110.0,40.0,USD,"{'longitude': '-73.987302', 'latitude': '40.759631'}"
19,Jonas Brothers,Jonas Brothers - Live in Vegas,https://www.ticketmaster.com/jonas-brothers-live-in-vegas-las-vegas-nevada-02-17-2023/event/2E005D89EBF80D1C,United States Of America,Las Vegas,2023-02-17,385.0,40.0,USD,"{'longitude': '-115.175233', 'latitude': '36.105126'}"
20,The Weeknd,The Weeknd Grada,https://www.ticketmaster.com.mx/the-weeknd-grada-mexico-29-09-2023/event/14005D6EA9652FE7,Mexico,México,2023-09-29,2611.0,511.0,MXN,"{'longitude': '-99.095618', 'latitude': '19.405199'}"
21,Maroon 5,Maroon 5 | Premium Seat,https://www.ticketmaster.de/event/maroon-5-%7C-premium-seat-tickets/495243?language=en-us,Germany,Berlin,2023-06-27,129.0,129.0,EUR,"{'longitude': '13.44314', 'latitude': '52.50573'}"
22,OneRepublic,OneRepublic,https://www.ticketmaster.com.au/onerepublic-brisbane-14-03-2023/event/13005CF5DBF92C44,Australia,Brisbane,2023-03-14,132.28,132.28,AUD,"{'longitude': '153.034553', 'latitude': '-27.457971'}"
23,Pop Smoke,Blackberry Smoke,https://www.ticketmaster.co.uk/blackberry-smoke-glasgow-27-03-2023/event/1F005ABAE4155FC1,Great Britain,Glasgow,2023-03-27,32.2,32.2,GBP,"{'longitude': '-4.2587809', 'latitude': '55.8504496'}"
30,Gwen Stefani,Amex presents BST Hyde Park - P!nk,https://www.ticketmaster.co.uk/amex-presents-bst-hyde-park-pnk-london-24-06-2023/event/37005D3C845A3FCC,Great Britain,London,2023-06-24,359.95,84.95,GBP,"{'longitude': '-0.165708', 'latitude': '51.507432'}"
32,The Neighbourhood,Neighbourhood Weekender Presents Live At The Big Top,https://www.ticketmaster.co.uk/neighbourhood-weekender-presents-live-at-the-warrington-26-05-2023/event/37005E4797921124,Great Britain,Warrington,2023-05-26,61.5,61.5,GBP,"{'longitude': '-2.576634', 'latitude': '53.384488'}"
33,Maluma,Maluma,https://www.ticketmaster.com/event/Z7r9jZ1AdqMG7,United States Of America,Highland,2023-04-27,Unknown,Unknown,Unknown,"{'longitude': '-117.153198', 'latitude': '34.1353'}"
34,Lewis Capaldi,Lewis Capaldi,https://www.ticketmaster.com/lewis-capaldi-new-york-new-york-04-06-2023/event/3C005D501A8317EE,United States Of America,New York,2023-04-06,125.0,50.0,USD,"{'longitude': '-73.9803981', 'latitude': '40.7599136'}"
35,Nat King Cole,National Philharmonic - The Music of Nat King Cole,https://am.ticketmaster.com/capitalonehall/natphil,United States Of America,Tysons,2023-04-27,Unknown,Unknown,Unknown,"{'longitude': '-77.212058', 'latitude': '38.925348'}"
38,The Jackson 5,When We Were Young,https://on.fgtix.com/trk/f1KT,United States Of America,Las Vegas,2023-10-21,Unknown,Unknown,Unknown,"{'longitude': '-115.158757', 'latitude': '36.141833'}"
39,Måneskin,Måneskin,https://www.ticketmaster.be/event/maneskin-tickets/46659,Luxembourg,Esch-sur-Alzette,2023-04-30,43.0,43.0,EUR,"{'longitude': '5.94744', 'latitude': '49.4999'}"
40,Shawn Mendes,SHAWN MENDES,https://www.eticketing.co.uk/asmglobalmanchester,Great Britain,Manchester,2023-07-26,Unknown,Unknown,Unknown,"{'longitude': '-2.244066', 'latitude': '53.488164'}"
41,Kali Uchis,Kali Uchis - Red Moon In Venus Tour,https://concerts.livenation.com/kali-uchis-red-moon-in-venus-houston-texas-04-26-2023/event/3A005E34D8DC68B9,United States Of America,Houston,2023-04-26,119.5,79.5,USD,"{'longitude': '-95.36416', 'latitude': '29.76539'}"
42,Stevie Wonder,Natural Wonder - the Stevie Wonder Experience,https://www.ticketmaster.com/natural-wonder-the-stevie-wonder-experience-las-vegas-nevada-05-13-2023/event/17005E2C9B4F4E1B,United States Of America,Las Vegas,2023-05-13,30.0,30.0,USD,"{'longitude': '-115.24547294', 'latitude': '36.25066198'}"
43,Bryson Tiller,NAV: Never Sleep Tour,https://www.ticketmaster.ca/nav-never-sleep-tour-toronto-ontario-04-11-2023/event/10005D68940D15EB,Canada,Toronto,2023-04-11,346.5,39.5,CAD,"{'longitude': '-79.3783234', 'latitude': '43.6439254'}"
44,The Kid LAROI,The Kid LAROI,https://www.ticketmaster.com/the-kid-laroi-lexington-kentucky-03-31-2023/event/16005D1224659B13,United States Of America,Lexington,2023-03-31,85.0,45.0,USD,"{'longitude': '-84.5010377', 'latitude': '38.049148'}"
46,J Balvin,Bad Bunny vs. J Balvin w/ OtebNSolrac + Guests,https://www.ticketweb.com/event/bad-bunny-vs-j-balvin-crybaby-tickets/12889965,United States Of America,Oakland,2023-03-04,20.0,0.0,USD,"{'longitude': '122.2696327', 'latitude': '37.8086762'}"
48,Polo G,Polo G Slot Giveaway Contest,https://www.ticketweb.com/event/polo-g-slot-giveaway-contest-the-forge-tickets/12904335,United States Of America,Joliet,2023-02-25,25.0,25.0,USD,"{'longitude': '-88.081972', 'latitude': '41.527733'}"
